ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
48,อะลูมิเนียม-ไตร-ไอโซโพรพอกไซด์,ALUMINIUM-TRI-ISOPROPOXIDE,555-31-7
49,อะมิทอน,AMITON,78-53-5
50,แอมโมเนีย,AMMONIA,7664-41-7
51,(a) แอมโมเนียม ไนเตรท (b) แอมโมเนียม ไนเตรท ในรูปของปุ๋ย (a),AMMONIUM  NITRATES  (b) AMMONIUM   NITRATES  IN THE   FORM   OF  FERTILISERS 6484-52-2,-
52,อะเมทรีน,AMETRYN,834-12-8
53,อะมิไดไธออน,AMIDITHION,919-76-6
54,กรด 3-อะมิโนเบนซีน ซัลโฟนิค 3-,AMINOBENZENE  SULPHONIC  ACID,121-47-1
55,กรด 4-อะมิโนเบนซีน ซัลโฟนิค 4-,AMINOBENZENE  SULPHONIC  ACID,121-57-3
56,2-อะมิโนเบนซีดีน 2-,AMINOBENZIDINE,-
57,เกลือ4-อะมิโนไบฟีนิล 4-,AMINOBIPHENYL (SALTS),-
58,"5-อะมิโน-1-(บิสไดเมทธิล อะมิโนฟอสไฟนิค)-3-ฟีนิล-1,2,4- ไตรอะโซล 5-","AMINO-1-(BISDIMETHYL AMINOPHOSPHINYL)-3-PHENYL- 1,2,4-TRIAZOLE 1031-47-6",-
59,2-อะมิโนบิวเทน 2-,AMINOBUTANE,13952-84-6
60,อะมิโนคาร์บ,AMINOCARB,2032-59-9
61,"4-อะมิโน-เอ็น,เอ็น-ไดเอทธิลอะนิลีน 4-","AMINO-N,N-DIETHYLANILINE",93-05-0
62,"2-อะมิโน-4,6-ไดไนโตรฟีนอล 2-","AMINO-4,6-DINITROPHENOL",96-91-3
63,2-อะมิโนเอทธานอล 2-,AMINOETHANOL,141-43-5
64,2-อะมิโนเอทธิลไดเมทธิลอะมีน 2-,AMINOETHYLDIMETHYLAMINE,108-00-9
65,2-อะมิโน-2-เมทธิลโพรพานอล 2-,AMINO-2-METHYLPROPANOL,124-68-5
66,"3-อะมิโนเมทธิล-3,5,5-ไตรเมทธิลไซโคลเฮกซิลอะมีน 3-","METHYL-3,5,5-TRIMETHYLCYCLOHEXYLAMINE",2855-13-2
67,อะมิโนฟีนอล 2-,AMINOPHENOL,95-55-6
68,2-อะมิโนโพรเพน 2-,AMINOPROPANE,75-31-0
69,1-อะมิโนโพรเพน-2-ออล 1-,AMINOPROPAN-2-OL,78-96-6
70,3-อะมิโนโพรพิลไดเอทธิลอะมีน 3-,AMINOPROPYLDIETHYLAMINE,104-78-9
71,3-อะมิโนโพรพิลไดเมทธิลอะมีน 3-,AMINOPROPYLDIMETHYLAMINE,109-55-7
72,2-อะมิโนไพริดีน 2-,AMINOPYRIDINE 95-53--4,-
73,อะมิโทรล,AMITROLE,61-82-5
74,"แอมโมเนีย,แอนไฮดรัส","AMMONIA, ANHYDROUS",7664-41-7
75,แอมโมเนียม ไบฟลูออไรด์,AMMONIUM  BIFLUORIDE,1341-49-7
76,แอมโมเนียมคลอไรด์,AMMONIUM   CHLORIDE,12125-02-9
77,แอมโมเนียม ไดโครเมท,AMMONIUM  DICHROMATE,7789-09-5
78,แอมโมเนียม ฟลูออไรด์,AMMONIUM  FLUORIDE,12125-01-8
79,แอมโมเนียม ไฮโดรเจน ไดฟลูออไรด์,AMMONIUM   HYDROGEN   DIFLUORIDE,1341-49-7
80,แอมโมเนียม เพอร์คลอเรท,AMMONIUM   PERCHLORATE,7790-98-9
81,แอมโมเนียม โพลีซัลไฟด์,AMMONIUM   POLYSULPHIDES,9080-17-5
82,เกลือแอมโมเนียม ดีเอ็นโอซี,AMMONIUM   SALT OF    DNOC,-
83,แอมโมเนียม ซัลฟาเมท,AMMONIUM   SULFAMATE,7773-06-0
84,"แอมโมเนียม บิส(2,4,6-ไตรไนโตรฟีนิล)อะไมด์","AMMONIUM BIS(2,4,6-TRINITROPHENY)AMINE",2844-92-0
85,"เอมิล อะซีเตท,ไอโซเมอร์ทุกตัว","AMYL ACETATE, ALL ISOMERS",628-63-7
86,"เอมิล แอลกอฮอล์, ยกเว้น เทร์ท- บิวทานอล","AMYL  ALCOHOL,except tert-PENTANOL",30899-19-5
87,เอมิล ฟอร์เมท,AMYL  FORMATE,638-49-3
88,เอมิล โพรพิโอเนท,AMYL  PROPIONATE,624-54-4
89,4-อะมิโนไดฟีลนิล 4-,AMINODIPHENYL,92-67-1
90,อะนิลีน,ANILINE,101-05-3
91,เกลืออะนิลีน,ANILINE(SALTS),-
92,ออโท-อะนิซิดีน o-,ANISIDINE,90-04-0
93,พารา-อะนิซิดีน p-,ANISIDINE,104-94-9
94,สารประกอบแอนติโมนี,"ANTIMONY   COMPOUNDS, AS SB",-
95,แอนติโมนี เพนตะคลอไรด์,ANTIMONY  PENTACHLORIDE,7647-18-9
96,แอนติโมนี ไตรคลอไรด์,ANTIMONY  TRICHLORIDE,10025-91-9
97,แอนติโมนี ไตรฟลูออไรด์,ANTIMONY  TRIFLUORIDE,7783-56-4
98,เอเอ็นทียู,ANTU,86-88-4
99,อะนาบาซิน,ANABASINE,494-52-0
100,แอนติโมนี ไฮไดรด์ (สติบีน),ANTIMONY    HYDRIDE (STIBINE),7803-52-3
101,อาร์เซนิค ไฮไดรด์,ARSENIC  HYDRIDE,7784-42-1
102,อาร์เซนิค เพนตอกไซด์,ARSENIC  PENTOXIDE,1303-28-2
103,อาร์เซนิคไตรออกไซด์,ARSENIC  TRIOXIDE,1327-53-3
104,สารหนู,ARSENIC,7440-38-2
105,สารประกอบของสารหนู,ARSENIC(COMPOUNDS),-
106,อาร์ซีน,ARSINE,7784-42-1
107,แอสเบสทอส,ASBESTOS,-
108,แอสพัลท์,ASPHALT,8052-42-4
109,อะทราซีน,ATRAZINE 1921-24--9,-
110,อะโทรพีน,ATROPINE,51-55-8
111,เกลืออะโทรพีน,ATROPINE(SALTS),-
112,อะซิริดีน,AZIRIDINE,151-56-4
113,อะซินฟอส-เอทธิล,AZINPHOS-ETHYL,2642-71-9
114,อะซินฟอส เมทธิล,AZINPHOS-METHYL,86-50-0
115,อะโซเบนซีน,AZOBENZENE,103-33-3
116,อะโซอิไมด์,AZOIMIDE,7782-79-8
117,อะโซโธเอท,AZOTHOATE,5834-96-8
118,อะโซซีเบนซีน,AZOXYBENZENE,495-48-7
119,บาร์บาน,BARBAN,101-27-9
120,"แบเรียม,สารประกอบที�ละลายได้","BARIUM,SOLUBLE COMPOUNDS,as Ba",7440-39-3
121,แบเรียม คลอเรท,BARIUM CHLORATE,13477-00-4
122,แบเรียม เพอร์คลอเรท,BARIUM PERCHLORATE,13465-95-7
123,แบเรียม เพอร์ออกไซด์,BARIUM PEROXIDE,1304-29-6
124,แบเรียม โพลีซัลไฟด์,BARIUM POLYSULPHIDES,50864-67-0
125,แบเรียม ซัลไฟด์,BARIUM SULPHIDE,21109-95-5
126,แบเรียม อะไซด์,BARIUM  AZIDE,18810-58-7
127,เบนโนมิล,BENOMYL,17804-35-2
128,เบนควินอกซ์,BENQUINOX,495-73-8
129,เบนซัลไลด์,BENSULIDE,741-58-2
130,เบนทะโซน,BENTAZONE,25057-89-0
131,เบนซัลคลอไรด์,BENZAL CHLORIDE,98-87-3
132,เบนซัลดีไฮด์,BENZALDEHYDE,100-52-7
133,เบนซีน,BENZENE,71-43-2
134,"1,3-เบนซีนไดออล 1,3-",BENZENEDIOL,108-46-3
135,"เบนซีน-1,2:3,4-เตตระคาร์บอกซีลิค ไดแอนไฮไดรด์","BENZENE-1,2:3,4-TETRACARBOXYLIC DIANHYDRIDE",89-32-7
136,"เบนซีน-1,2,4-ไตรคาร์บอกซีลิค-1,2-แอนไฮไดรด์","BENZENE-1,2,4-TRICARBOXYLIC-1,2-ANHYDRIDE",552-30-7
137,เบนโซกัวนามีน,BENZOGUANAMINE,91-76-9
138,เบนโซไนไตรล์,BENZONITRILE,100-47-0
139,เบนซิดีน,BENZIDINE,92-87-5
140,เกลือของเบนซิดีน,BENZIDINE SALTS,-
141,"เบอริลเลียม(ผง,สารประกอบ)","BERYLLIUM(POWDERS, COMPOUNDS)",7440-41-7
142,"เบนโซฟีโนน-3,3',4,4'-เตตระคาร์บอกซีลิค ไดแอนไฮไดรด์","BENZOPHENONE-3,3',4,4'-TETRACARBOXYLIC DIANHYDRIDE",2421-28-5
143,พารา-เบนโซควิโนน p-,BENZOQUINONE,106-51-4
144,1-(2-เบนโซไธอะโซลิล)-3-เมทธิลยูเรีย 1-(2-,BENZOTHIAZOLYL)-3-METHYLUREA,1929-88-0
145,เบนโซไตรคลอไรด์,BENZOTRICHLORIDE,98-07-7
146,เบนโซไตรฟลูออไรด์,BENZOTRIFLUORIDE,98-08-8
147,เบนโซอิล คลอไรด์,BENZOYL  CHLORIDE,98-88-4
148,"4-เบนโซอิลไฮดราโซโน-1,4-เบนโซควิโนน ออกซิม 4-","BENZOYLHYDRAZONO-1,4-BENZOQUINONE OXIME",495-73-8
149,เบนโซอิล เพอร์ออกไซด์,BENZOYL PEROXIDE,94-36-0
150,เบนซไธอะซูรอน,BENZTHIAZURON,1929-88-0
151,เบนซิลแอลกอฮอล์,BENZYL ALCOHOL,100-51-6
152,เบนซิลอะมีน,BENZYLAMINE,100-46-9
153,เบนซิลเบนโซเอท,BENZYL BENZOATE,120-51-4
154,เบนซิลโบรไมด์,BENZYL BROMIDE,100-39-0
155,เบนซิลคลอร์ฟอร์เมท,BENZYL CHLORFORMATE,501-53-1
156,เบนซิล คลอไรด์,BENZYL CHLORIDE,100-44-7
157,เบนซิลไดเมทธิลอะมีน,BENZYLDIMETHYLAMINE 103-83--3,-
158,เบนซิลิดีน คลอไรด์,BENZYLIDENE CHLORIDE,98-87-3
159,,Y-บีเอชซี Y-BHC,58-89-9
160,ไบนาพาคริล,BINAPACRYL,485-31-4
161,ไบพีนิล,BIPHENYL,92-52-4
162,ไบพีนิล-4-อิลอะมีน,BIPHENYL-4-YLAMINE,92-67-1
163,เกลือของไบพีนิล-4-อิลอะมิน,BIPHENYL-4-YLAMINE (SALTS),-
164,"ไบพีนิล-4,4'-อิลลีนไดอะมีน","BIPHENYL-4,4'-YLENEDIAMINE",92-87-5
165,บิสมัท เทลลูไรด์,BISMUTH TELLURIDE,1304-82-1
166,บิส คลอโรเมทธิล อีเธอร์,BIS-(CHLOROMETHYL)-ETHER,542-88-1
167,บิสฟีนอล เอ-(อีพิคลอร์ไฮดริน) อีพอกซีเรซิน (รีแอคชัน โพรดัคท์),BIS-PHENOL  A-(EPICHLOR HYDRIN) EPOXY RESIN (REACTION PRODUCT) 25068-38-6,-
168,บิสฟีนอล เอ,BISPHENOL A,80-05-7
169,"1,1-บิส(เทอร์ท-บิวทิลเพอร์ออกซี)ไซโคลเฮกเซน (ความเข้มข้น>=80%) 1,1-",BIS (tert-BUTYLPEROXY) CYCLOHEXANE (CONCENTRATION>=80%) 3006-86-8,-
170,บิส(คลอโรเมทธิล)อีเธอร์,BIS(CHLOROMETHYL) ETHER,542-88-1
171,บิส(2-คลอโรเอทธิล)ซัลไฟด์,BIS (2-CHLOROETHYL) SULPHIDE,505-60-2
172,"บิส(2,4,6-ไตรโนโตรฟีนิล)เอมีน","BIS (2,4,6-TRINOTROPHENYL) AMINE",131-73-7
173,"บอเรทส์, เตตรา, เกลือโซเดียม, แอนไฮดรัส","BORATES, TETRA, SODIUM SALTS, ANHYDROUS",1330-43-4
174,"บอเรทส์, เตตรา, เกลือโซเดียม, เดคะไฮเดรท","BORATES, TETRA, SODIUM SALTS, DECAHYDRATE",1303-96-4
175,"บอเรทส์, เตตรา, เกลือโซเดียม, เพนตะไฮเดรท","BORATES, TETRA, SODIUM SALTS, PENTAHYDRATE",12179-04-3
176,โบรอน ไตรโบรไมด์,BORON TRIBROMIDE,10294-33-4
177,โบรอน ไตรคลอไรด์,BORON TRICHLORIDE,10294-34-5
178,โบรอน ไตรฟลูออไรด์,BORON TRIFLUORIDE,7637-07-2
179,โบรมาซิล,BROMACIL,314-40-9
180,โบรมีน เพนตะฟลูออไรด์,BROMINE PENTAFLUORIDE,7789-30-2
181,กรดโบรโมอะซีติค,BROMOACETIC ACID,79-08-3
182,โบรโมเบนซีน,BROMOBENZENE,108-86-1
183,"ออโท-(4-โบรโม-2,5-ไดคลอโรพีนิล) โอโอ-ไดเอทธิล ฟอสฟอโรไธโอเอท o-(4-","BROMO-2,5-DICHLOROPHENYL) O,O-DIETHYL PHOSPHOROTHIOATE 4824-78-6",-
184,โบรโมอีเธน,BROMOETHANE,74-96-4
185,โบรโมฟีนอกซิม,BROMOFENOXIM,13181-17-4
186,โบรโมฟอร์ม,BROMOFORM,75-25-2
187,โบรโมฟอส-เอทธิล,BROMOPHOS-ETHYL,4824-78-6
188,1-โบรโมโพรเพน 1-,BROMOPROPANE,106-94-5
189,อัลฟา-โบรโมโทลูอีน   α-,BROMOTOLUENE,100-39-0
190,โบรมอกซีนิล,BROMOXYNIL,1689-84-5
191,โบรมีน,BROMINE,7726-95-6
192,บรูซีน,BRUCINE,357-57-3
193,โบรโมมีเธน (เมทธิล โบรไมด์),BROMOMETHANE (METHYL  BROMIDE),74-83-9
194,เทร์ท-บิวทิล เพอร์ออกซีอะซิเตท  (ความเข้มข้น>=70%) tert-,BUTYL  PEROXYACETRATE (CONCENTRATION>=70%),107-71-7
195,"2,2-ได(เทอร์ท-บิวทิล เพอร์ออกซี)บิวเทน (ความเข้มข้น>=70%) 2,2-di(tert-",BUTYLPEROXY) BUTANE  (CONCENTRATION>=70%),2167-23-9
196,ได-เซค-บิวทิล เพอร์ออกซีไดคาร์บอเนท (ความเข้มข้น>=80%),DI-sec-BUTYL PEROXYDICARBONATE (CONCENTRATION>=80%) 19910-65-7,-
197,เทอร์ท-บิวทิล เพอร์ออกซีมาลีเอท (ความเข้มข้น>=80%) tert-,BUTYL  PEROXYMALEATE  (CONCENTRATION>=80%),1931-62-0
198,เทอร์ท-บิวทิล เพอร์ออกซีไอโซโพรพิล คาร์บอเนท (ความเข้มข้น>=80%) tert-,BUTYL  PEROXYISOPROPYL  CARBONATE (CONCENTRATION>=80%) 2372-21-6,-
199,เทอร์ท-บิวทิล เพอร์ออกซีไพวาเลท tert-,BUTYL PEROXYPIVALATE,927-07-1
200,เทอร์ท-บิวทิล เพอร์ออกซีไอโซบิวไทเรท (ความเข้มข้น>=80%) tert-,BUTYL  PEROXYISOBUTYRATE (CONCENTRATION>=80%) 109-13-7,-
201,"1,3-บิวตะไดอีน 1,3-",BUTADIENE,106-99-0
202,บิวตะไดอีน ไดอีพอกไซด์,BUTADIENE DIEPOXIDE,1464-53-5
203,บิวเทน,BUTANE,106-97-8
204,บิวเทนไดออลไดไกลซิดิล อีเธอร์,BUTANEDIOLDIGLYCIDYL   ETHER,2425-79-8
205,บิวทานอล,BUTANOL,71-36-3
206,2-บิวทาโนน 2-,BUTANONE,78-93-3
207,2-บิวทาโนน ออกซิม 2-,BUTANONE  OXIME,96-29-7
208,2-บิวทีนอล 2-,BUTENAL,123-73-9
209,บิวทีน (ไอโซเมอร์ทั�งหมด),"BUTENE, all isomers",-
210,2-บิวทอกซีเอทธานอล 2-,BUTOXYETHANOL,111-76-2
211,2-บิวทอกซีเอทธิล อะซีเตท 2-,BUTOXYETHYL  ACETATE,112-07-2
212,3-บิวทอกซีโพรเพน-2-ออล 3-,BUTOXYPROPAN-2-OL,5131-66-8
213,1-(2-บิวทอกซีโพรพอกซี) โพรพาน-2-ออล 1-(2-,BUTOXYPROPOXY)  PROPAN-2-OL,24083-03-2
214,"เทอร์ท บิวทิล- อะซีเตท, tert -",BUTYL  ACETATE,540-88-5
215,บิวทิล อะครีเลท n-,BUTYL  ACRYLATE,141-32-2
216,บิวทิล แอลกอฮอล์ ยกเว้น เทอร์ท-บิวทิล แอลกอฮอล์,"BUTYL  ALCOHOL, except  tert-BUTYL  ALCOHOL 71-36-3(n)",-
217,บิวทิลอะมีน,BUTYLAMINE,109-73-9
218,2-เทอร์ท-บิวทิลอะมิโนเอทธิล เมทธาครีเลท 2-,TERT-BUTYLAMINOETHYL  METHACRYLATE,3775-90-4
219,บิวทิล บิวไทเรท,BUTYL  BUTYRATE,109-21-7
220,บิวทิล คลอไรด์,BUTYL  CHLORIDE,109-69-3
221,บิวทิล คลอโรฟอร์เมท,BUTYL  CHLOROFORMATE,592-34-7
222,4-เทอร์ท-บิวทิล-2-คลอโรพีนิล-เมทธิล-เมทธิลฟอสโฟโรอะมิเดท 4-,TERT-BUTYL-2-CHLOROPHENYL-METHYL-METHYL PHOSPHOROAMIDATE 299-86-5,-
223,เทอร์ท-บิวทิลอะมิโนเอทธิล เมทธาครีเลท tert-,BUTYLAMINOETHYL   METHACRYLATE,3775-90-4
224,"เทอร์ท-บิวทิล-แอลฟา, แอลฟา-ไดเมทธิลเบนซิล เพอร์ออกไซด์ tert-","BUTYL ALPHA, ALPHA-DIMETHYLBENZYL PEROXIDE",3457-61-2
225,"6-เซค-บิวทิล-2, 4-ไดไนโตรพีนอล 6-sec-","BUTYL-2, 4-DINITROPHENOL",88-85-7
226,"2-เซค-บิวทิล-4, 6-ไดไนโตรพีนอล 2-tert-","BUTYL-4, 6-DINITROPHENOL",1420-07-1
227,"2-เซค-บิวทิล-4, 6-ไดไนโตรพีนิล ไอโซโพรพิล คาร์บอเนต 2-sec-","BUTYL-4, 6-DINITROPHENYL ISOPROPYL CARBONATE",973-21-7
228,"2-เซค-บิวทิล-4, 6-ไดไนโตรพีนิล-3-เมทธิลโครโทเนท 2-sec-","BUTYL-4, 6-DINITROPHENYL-3-METHYLCROTONATE",485-31-4
229,บิวทิลีน,BUTYLENE,106-98-9
230,"1,3-บิวทิลีนไกลคอล ไดอะครีเลท 1,3-",BUTYLENEGLYCOL DIACRYLATE,19485-03-1
231,"1,4-บิวทิลีนไกลคอล ไดอะครีเลท 1,4-",BUTYLENEGLYCOL DIACRYLATE,1070-70-8
232,"บิวทิล 2,3-อีพอกซีโพรพิล อีเธอร์","BUTYL 2,3-EPOXYPROPYL ETHER",2426-08-6
233,บิวทิล เอทธิล คีโตน,BUTYL ETHYL KETONE,106-35-4
234,บิวทิล ฟอร์เมท,BUTYL FORMATE 592-84-7(n),-
235,บิวทิล ไกลซิคิล อีเธอร์,BUTYL GLYCIDYL ETHER,2426-08-6
236,บิวทิลไกลคอล อะซีเตท,BUTYLGLYCOL  ACETATE,112-07-2
237,เอ็น-บิวทิล แลคเตท n-,BUTYL  LACTATE,138-22-7
238,บิวทิล เมอแคพแทน,BUTYL  MERCAPTAN,109-79-5
239,เอ็น-บิวทิล เมทธาครีเลท n-,BUTYL  METHACRYLATE,97-88-1
240,2-เซค-บิวทิลพีนอล 2-sec-,BUTYLPHENOL,89-72-5
241,พารา-เทอร์ท--บิวทิลพีนอล p-tert-,BUTYLPHENOL,98-54-4
242,บิวทิล โพรพิโอเนท,BUTYL  PROPIONATE,590-01-2
243,พารา-เทอร์ท-บิวทิลโทลูอีน p-tert-,BUTYLTOLUENE,98-51-1
244,"บิวท์-2-อิน-1, 4-ไดออล","BUT-2-YNE-1,4-DIOL",110-65-6
245,บิวไทรัลดีไฮด์,BUTYRALDEHYDE,123-72-8
246,บิวไทรัลดีไฮด์ ออกซึม,BUTYRALDEHYDE  OXIME,110-69-0
247,กรดบิวไทริค,BUTYRIC  ACID,107-92-6
248,เอ็น-บิวไทโรไนไตรล์ n-,BUTYRONITRILE,109-74-0
249,ฝุ่นแคดเมี�ยมและเกลือของแคดเมี�ยม,"CADMIUM, DUST & SALTS, as Cd",-
250,"ออกไซด์ของแคดเมี�ยม, ฟูมของแคดเมี�ยม","CADMIUM  OXIDE, FUME, as Cd",-
251,แคดเมียม คลอไรด์,CADMIUM  CHLORIDE,10108-64-2
252,สารประกอบแคดเมียม,CADMIUM  COMPOUNDS,-
253,แคดเมียม ไซยาไนต์,CADMIUM  CYANIDE,542-83-6
254,แคดเมียม ฟลูออไรด์,CADMIUM  FLUORIDE,7790-79-6
255,แคดเมียม ฟลูออโรซิลิเคท,CADMIUM  FLUOROSILICATE,17010-21-8
256,แคดเมียม ฟอร์เมท,CADMIUM  FORMATE,4464-23-7
257,แคดเมียม ไอโอไดด์,CADMIUM  IODIDE,7790-80-9
258,แคดเมียม ออกไซด์,CADMIUM  OXIDE,1306-19-0
259,แคลเซียม,CALCIUM,7440-70-2
260,แคลเซียม คาร์ไบด์,CALCIUM CARBIDE,75-20-7
261,แคลเซียม คลอไรด์,CALCIUM CHLORIDE,10043-52-4
262,แคลเซียม โครเมท,CALCIUM CHROMATE,13765-19-0
263,แคลเซียม ไซยานาไมด์,CALCIUM CYANAMIDE 156--62-7,-
264,แคลเซียม ไฮไดรด์,CALCIUM HYDRIDE,7789-78-8
265,แคลเซียม ไฮดรอกไซด์,CALCIUM  HYDROXIDE,1305-62-0
266,แคลเซียม ไฮโปคลอไรท์,CALCIUM  HYPOCHLORITE,7778-54-3
267,แคลเซียม ไอโอดอกซีเบนโซเอท,CALCIUM  IODOXYBENZOATE,1829-27-2
268,แคลเซียม ออกไซด์,CALCIUM  OXIDE,1305-78-8
269,แคลเซียม ฟอสไฟด์,CALCIUM  PHOSPHIDE,1305-99-3
270,แคลเซียม โพลีซัลไฟด์,CALCIUM POLYSULFIDE,1344-81-6
271,แคลเซียม ซัลไฟด์,CALCIUM  SULPHIDE,20548-54-3
272,คาโลเมล,CALOMEL,10112-91-1
273,แคมฟีคลอร์,CAMPHECHLOR,8001-35-2
274,คาร์โบฟิวแรน,CARBOFURAN,1563-66-2
275,คาร์โบฟีโนไธออน,CARBOPHENOTHION,786-19-6
276,คาร์บอน ไดซัลไฟด์,CARBON DISULPHIDE,75-15-0
277,คาร์โบนิล คลอไรด์(ฟอสจีน),CARBONYL  CHLORIDE  (PHOSGENE),75-44-5
278,คาร์บาริล,CARBARYL,63-25-2
279,คาร์บอนมอนอกไซด์,CARBON  MONOXIDE,630-08-0
280,คาร์บอนเตตระคลอไรด์,CARBON  TETRACHLORIDE,56-23-5
281,คาร์โบนิล คลอไรด์(ฟอสจีน),CARBONYL  CHLORIDE  (PHOSGENE),75-44-5
282,"4,4'-คาร์บอนิลได (พธาลิค แอนไฮไดรค์) 4,4'-",CARBONYLDI (PHTHALIC ANHYDRIDE),2421-28-5
283,คอสติค โปแตช,CAUSTIC  POTASH,1310-58-3
284,เซลลูโลส ไนเตรท,CELLULOSE  NITRATE,9004-70-0
285,ซีเซียม ไฮดรอกไซด์,CESIUM  HYDROXIDE,21351-79-1
286,คลอรัล ไฮเดรท,CHLORAL  HYDRATE,302-17-0
287,คลอร์เฟนวิลฟอส,CHLOFENVINPHOS,470-90-6
288,คลอโรเมทธิล เมทธิล อีเธอร์,CHLOROMETHYL   METHYL   ETHER,107-30-2
289,คลอรีน,CHLORINE,7782-50-5
290,4-(คลอโรฟอร์มิล) มอโฟลีน 4-(,CHLOROFORMYL)  MOPHOLINE,15159-40-7
291,คลอโรไตรไนโตรเบนซีน,CHLOROTRINITROBENZENE,28260-61-9
292,คลอรัลโลส,CHLORALOSE,15879-93-3
293,คลอรามีน ที (เกลือโซเดียม),CHLORAMINE T  (SODIUM SALT),127-65-1
294,คลอร์เดน,CHLORDANE,57-74-9
295,คลอร์ดีโคน,CHLORDECONE,143-50-0
296,คลอร์ไดมีฟอร์ม,CHLORDIMEFORM,6164-98-3
297,คลอร์ไดมีฟอร์ม ไฮโดรคลอไรด์,CHLORDIMEFORM  HYDROCHLORIDE,19750-95-9
298,คลอเรนติค แอนไฮไดรด์,CHLORENDIC  ANHYDRIDE,115-27-5
299,คลอร์พีแนค,CHLORFENAC,85-34-7
300,คลอร์เฟนธอล,CHLORFENETHOL,80-06-8
301,คลอร์เฟนพรอพ-เมทธิล,CHLORFENPROP-METHYL,14437-17-3
